,Address,Full Location,Neighborhood,Area,Borough,Price,Baths,Beds
55,"45-45 Center Boulevard, Apt AP...","Hunters Point, Long Island City, Northwestern Queens, Queens",Hunters Point,Long Island City,Queens,2640.0,1.0,0
56,"223 East 110th Street, Apt C","East Harlem, Upper Manhattan, Manhattan",East Harlem,Upper Manhattan,Manhattan,3100.0,1.0,3
57,"340 East 53 Street, Apt 4B","Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",Turtle Bay,Midtown East,Manhattan,2250.0,1.0,1
58,East 34th Street,"Kips Bay, Midtown Manhattan, Manhattan",Kips Bay,Midtown Manhattan,Manhattan,5000.0,2.0,3
59,"233 East 34th Street, Apt 2F","Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,3877.0,1.0,2
60,Copy of East 34th Street,"Kips Bay, Midtown Manhattan, Manhattan",Kips Bay,Midtown Manhattan,Manhattan,5521.0,2.0,3
61,"233 East 34th Street, Apt 2F","Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,3877.0,1.0,2
62,"21 India Street, Apt T510","Greenpoint, Northern Brooklyn, Brooklyn",Greenpoint,Northern Brooklyn,Brooklyn,2889.0,1.0,1
63,"100 West 31st Street, Apt 41H","Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,8845.0,2.0,3
64,"100 West 31st Street, Apt 42G","Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,4577.0,1.0,1
65,East 34th Street,"Kips Bay, Midtown Manhattan, Manhattan",Kips Bay,Midtown Manhattan,Manhattan,4335.0,2.0,2
66,"1365 Saint Nicholas Avenue, Ap...","Washington Heights, Upper Manhattan, Manhattan",Washington Heights,Upper Manhattan,Manhattan,1737.0,1.0,0
67,W 57th St - Columbus Circle/ H...,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,4496.0,1.0,2
68,West 42 Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,4450.0,2.0,2
69,West 48 Street,"Theater District, Midtown Manhattan, Manhattan",Theater District,Midtown Manhattan,Manhattan,3021.0,1.0,1
70,"30 West 141st Street, Apt 17P","Central Harlem, Upper Manhattan, Manhattan",Central Harlem,Upper Manhattan,Manhattan,2295.0,1.0,1
71,"1443 York Avenue, Apt 3E","Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,3195.0,1.0,2
72,East 85 Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,2000.0,1.0,0
