,Address,Full Location,Neighborhood,Area,Borough,Price,Baths,Beds
12958,4th Avenue ,"Greenwich Village, Downtown Manhattan, Manhattan",Greenwich Village,Downtown Manhattan,Manhattan,3900.0,1.0,1
12959,River Terrace,"Battery Park City, Downtown Manhattan, Manhattan",Battery Park City,Downtown Manhattan,Manhattan,6500.0,2.0,2
12960,West 111st Street,"Central Harlem, Upper Manhattan, Manhattan",Central Harlem,Upper Manhattan,Manhattan,2600.0,1.0,2
12961,West 77th Street,"Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,8000.0,2.0,2
12962,E 39th St,"Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,5770.0,2.0,2
12963,"1474 Third Avenue, Apt 15S","Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,9000.0,3.0,4
12964,St Marks Pl,"East Village, Downtown Manhattan, Manhattan",East Village,Downtown Manhattan,Manhattan,2200.0,1.0,0
12965,"4 North Henry Street, Apt 2A","Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,5300.0,2.0,4
12966,West 37th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,3663.0,1.0,1
12967,E 78th St,"Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,1895.0,1.0,0
12968,East 7th,"East Village, Downtown Manhattan, Manhattan",East Village,Downtown Manhattan,Manhattan,2725.0,1.0,1
12969,Schermerhorn St.,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,4995.0,2.0,2
12970,"491 Columbus Avenue, Apt 1","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,1799.0,1.0,0
12971,20 Warren Street,"Tribeca, Downtown Manhattan, Manhattan",Tribeca,Downtown Manhattan,Manhattan,2000.0,2.0,0
12972,Prince Street,"NoLita, Downtown Manhattan, Manhattan",NoLita,Downtown Manhattan,Manhattan,3700.0,1.0,1
12973,West 77th Street,"Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,7103.0,2.0,2
12974,Water Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,2565.0,1.0,0
12975,"105 Leonard Street, Apt 3G","East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",East Williamsburg,Williamsburg,Brooklyn,3200.0,1.0,2
12976,"80 Grove St, Apt 7D","West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,5800.0,1.0,1
12977,"151 Mott Street, Apt 32","Little Italy, Downtown Manhattan, Manhattan",Little Italy,Downtown Manhattan,Manhattan,2450.0,1.0,1
12978,William Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,6415.0,2.0,4
12979,Ashland Place,"Fort Greene, Northwestern Brooklyn, Brooklyn",Fort Greene,Northwestern Brooklyn,Brooklyn,2699.0,1.0,0
12980,"65 Washington Street, Apt 8E","DUMBO, Northwestern Brooklyn, Brooklyn",DUMBO,Northwestern Brooklyn,Brooklyn,5445.0,2.0,2
12981,Ninth Avenue,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2600.0,1.0,1
12982,Hunter St.,"Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,5009.0,2.0,2
12983,Church St.,"Tribeca, Downtown Manhattan, Manhattan",Tribeca,Downtown Manhattan,Manhattan,3600.0,1.0,0
12984,East 38th Street,"Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,4800.0,1.0,1
12985,West 97th and Columbus avenue!...,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",Manhattan Valley,Upper West Side,Manhattan,3357.0,1.0,3
12986,West 24th Street,"NoMad, Midtown Manhattan, Manhattan",NoMad,Midtown Manhattan,Manhattan,4655.0,1.0,1
12987,East 7th Street And Avenue B,"Alphabet City, East Village, Downtown Manhattan, Manhattan",Alphabet City,East Village,Manhattan,4000.0,2.0,3
12988,"336 West 77th Street, Apt 2","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,2620.0,1.0,1
12989,"146 West 136th St, Apt GARDEN","Central Harlem, Upper Manhattan, Manhattan",Central Harlem,Upper Manhattan,Manhattan,7000.0,2.0,2
12990,East 35th Street,"Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,3295.0,1.0,2
12991,North End Avenue,"Battery Park City, Downtown Manhattan, Manhattan",Battery Park City,Downtown Manhattan,Manhattan,4900.0,1.0,1
12992,East 16th Street - Gramercy Pa...,"Gramercy Park, Midtown Manhattan, Manhattan",Gramercy Park,Midtown Manhattan,Manhattan,4600.0,1.0,1
12993,South 1st St.,"Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,4371.0,1.0,1
12994,Saint Nicholas Avenue,"Washington Heights, Upper Manhattan, Manhattan",Washington Heights,Upper Manhattan,Manhattan,2395.0,1.0,2
12995,W 10th St,"West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,2575.0,1.0,1
12996,"317 Hicks Street, Apt 2","Brooklyn Heights, Northwestern Brooklyn, Brooklyn",Brooklyn Heights,Northwestern Brooklyn,Brooklyn,3400.0,1.0,0
12997,West Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,8026.0,3.0,3
12998,West 22nd Street,"Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,2800.0,1.0,0
12999,William Street ,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,2908.0,1.0,1
13000,William Street ,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,2908.0,1.0,1
13001,Hoyt Street,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,3095.0,1.0,0
13002,295 Maujer,"East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",East Williamsburg,Williamsburg,Brooklyn,2400.0,1.0,2
13003,"400 East 88 Street, Apt 23D","Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,4800.0,2.0,4
13004,East 88th St,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,1975.0,1.0,0
13005,East 88th Street - Upper East,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,3350.0,1.0,0
13006,"102-30 67th Avenue, Apt 7S","Forest Hills, Northwestern Queens, Queens",Forest Hills,Northwestern Queens,Queens,2300.0,1.0,2
13007,W 53rd St.,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,5700.0,2.0,2
13008,Leroy Street,"West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,3995.0,1.0,1
13009,W 77th St.,"Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,3750.0,1.0,0
13010,"77 Reade St, Apt 3D","Tribeca, Downtown Manhattan, Manhattan",Tribeca,Downtown Manhattan,Manhattan,4995.0,1.0,1
13011,"347 West 51st St, Apt 2","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,8300.0,2.0,4
13012,"200 East 87th St, Apt 14L","Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,2743.0,1.0,0
13013,Clarkson Avenue,"Flatbush, Central Brooklyn, Brooklyn",Flatbush,Central Brooklyn,Brooklyn,3300.0,1.0,2
13014,Hoyt Street,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,3780.0,1.0,1
13015,"96 Bedford Avenue, Apt 3R","Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,4308.0,2.0,3
13016,W 55th St.,"Theater District, Midtown Manhattan, Manhattan",Theater District,Midtown Manhattan,Manhattan,4795.0,2.0,2
13017,West 54th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2549.0,1.0,0
13018,W 10th,"West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,2600.0,1.0,0
13019,South 1st St.,"Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,3503.0,1.0,0
13020,28th Street,"Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,6340.0,2.0,3
13021,325w 42nd St,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2600.0,1.0,2
13022,Livingston Street,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,3895.0,1.0,1
13023,Livingston Street,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,3895.0,1.0,1
13024,E 27th St,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",Rose Hill,Kips Bay,Manhattan,2475.0,1.0,0
13025,"854 West 180th Street, Apt 6H","Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",Hudson Heights,Washington Heights,Manhattan,2275.0,1.0,1
13026,"155 Meserole Street, Apt 6A","East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",East Williamsburg,Williamsburg,Brooklyn,3941.0,1.0,3
13027,"225 East 10th Street, Apt 5","East Village, Downtown Manhattan, Manhattan",East Village,Downtown Manhattan,Manhattan,2295.0,1.0,0
13028,"51 W 84th St, Apt 7","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,2427.0,1.0,0
13029,150-39 12th Rd,"Whitestone, Northeastern Queens, Queens",Whitestone,Northeastern Queens,Queens,2400.0,2.0,3
13030,Neill Avenue,"Pelham Parkway, East Bronx, Bronx",Pelham Parkway,East Bronx,Bronx,2450.0,1.0,2
13031,"426 East 81st Street, Apt 3D","Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,1995.0,1.0,0
13032,John Street ,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3150.0,1.0,0
13033,"323 West 82 Street, Apt 5A","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,2500.0,1.0,1
13034,"311 Melrose Street, Apt 1A","Bushwick, Northern Brooklyn, Brooklyn",Bushwick,Northern Brooklyn,Brooklyn,1599.0,2.0,0
13035,West 91st Street,"Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,2481.0,1.0,0
13036,East 39th Street,"Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,2879.0,1.0,1
13037,East 93 Street / 2nd Avenue,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,3500.0,1.0,2
13038,Riverside Drive,"Washington Heights, Upper Manhattan, Manhattan",Washington Heights,Upper Manhattan,Manhattan,2500.0,1.0,2
13039,Queens Street,"Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,3645.0,1.0,1
13040,Riverside Drive,"Washington Heights, Upper Manhattan, Manhattan",Washington Heights,Upper Manhattan,Manhattan,2500.0,1.0,2
13041,Queens Street,"Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,3645.0,1.0,1
13042,East 38th Street,"Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,2495.0,1.0,1
13043,"344 E 49th St, Apt 2C","Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",Turtle Bay,Midtown East,Manhattan,3100.0,1.0,1
13044,Mott St,"NoLita, Downtown Manhattan, Manhattan",NoLita,Downtown Manhattan,Manhattan,3795.0,1.0,1
13045,"1 St Pauls Court, Apt 1J","Flatbush, Central Brooklyn, Brooklyn",Flatbush,Central Brooklyn,Brooklyn,1910.0,1.0,1
13046,Riverside Dr,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",Hamilton Heights,West Harlem,Manhattan,4150.0,3.0,4
13047,"327 East 14th Street, Apt 4B","Gramercy Park, Midtown Manhattan, Manhattan",Gramercy Park,Midtown Manhattan,Manhattan,2500.0,1.0,1
13048,"200 East 27th St, Apt 7N","Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",Rose Hill,Kips Bay,Manhattan,3000.0,1.0,0
13049,"464 West 44th St, Apt 2A","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,4100.0,1.0,1
13050,"320 West 14th St, Apt 2A","West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,6400.0,1.0,3
13051,E 15,"Gramercy Park, Midtown Manhattan, Manhattan",Gramercy Park,Midtown Manhattan,Manhattan,3350.0,1.0,2
13052,River Road,"Roosevelt Island, Manhattan",Roosevelt Island,Manhattan,Manhattan,5900.0,2.0,3
13053,"79 Carlton Avenue, Apt 3","Fort Greene, Northwestern Brooklyn, Brooklyn",Fort Greene,Northwestern Brooklyn,Brooklyn,2875.0,1.0,3
13054,E 36th St.,"Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,2800.0,1.0,0
13055,Broadway - Financial District,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3174.0,1.0,0
13056,River Road,"Roosevelt Island, Manhattan",Roosevelt Island,Manhattan,Manhattan,3550.0,1.0,1
13057,"63 Wall Street, Apt 1303","Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,2580.0,1.0,0
13058,"99 Battery Place, Apt 25J","Battery Park City, Downtown Manhattan, Manhattan",Battery Park City,Downtown Manhattan,Manhattan,3650.0,1.0,1
13059,"219 E 28th St., Apt 3C","Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",Rose Hill,Kips Bay,Manhattan,4195.0,1.0,2
13060,Hunter St.,"Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,2905.0,1.0,0
13061,200 Water,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,6200.0,2.0,2
13062,"94 Malcolm X Boulevard, Apt 8","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,2475.0,1.0,3
13063,86th Street and 2nd Avenue,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,3275.0,1.0,1
13064,Ashland Place - Fort Green - B...,"Fort Greene, Northwestern Brooklyn, Brooklyn",Fort Greene,Northwestern Brooklyn,Brooklyn,3629.0,1.0,1
13065,Broadway - Financial District,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3911.0,1.0,1
13066, 4th Street and 2nd Avenue ,"Bowery, Downtown Manhattan, Manhattan",Bowery,Downtown Manhattan,Manhattan,4446.0,1.0,2
13067,Hoyt Street,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,2830.0,1.0,0
13068,Hoyt Street,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,3600.0,1.0,1
13069,"854 West 180th Street, Apt 1E","Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",Hudson Heights,Washington Heights,Manhattan,2318.0,1.0,2
13070,"283 West 115th Street, Apt 5A","Little Senegal, Central Harlem, Upper Manhattan, Manhattan",Little Senegal,Central Harlem,Manhattan,3718.0,2.0,4
13071,"29 7th Ave, Apt 2","West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,7900.0,2.0,4
13072,2nd Ave/83,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,2837.0,1.0,2
13073,"330 East 63rd Street, 10065","Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,4700.0,1.0,3
13074,"20 Prospect Place, Apt 2","North Slope, Park Slope, South Brooklyn, Brooklyn",North Slope,Park Slope,Brooklyn,2800.0,1.0,2
13075,72nd street between Lexington ...,"Lenox Hill, Upper East Side, Upper Manhattan, Manhattan",Lenox Hill,Upper East Side,Manhattan,2300.0,1.0,1
13076,Water Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,2998.0,1.0,0
13077,East 74th St,"Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,2100.0,1.0,1
13078,"1992 Madison Ave, Apt 3","East Harlem, Upper Manhattan, Manhattan",East Harlem,Upper Manhattan,Manhattan,4150.0,2.0,3
13079,West 45th St,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2200.0,1.0,0
13080,"20 Prospect Place, Apt 2","North Slope, Park Slope, South Brooklyn, Brooklyn",North Slope,Park Slope,Brooklyn,2800.0,1.0,2
13081,72nd street between Lexington ...,"Lenox Hill, Upper East Side, Upper Manhattan, Manhattan",Lenox Hill,Upper East Side,Manhattan,2300.0,1.0,1
13082,Water Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,2998.0,1.0,0
13083,East 74th St,"Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,2100.0,1.0,1
13084,Hoyt Street,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,2830.0,1.0,0
13085,"1992 Madison Ave, Apt 3","East Harlem, Upper Manhattan, Manhattan",East Harlem,Upper Manhattan,Manhattan,4150.0,2.0,3
13086,West 45th St,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2200.0,1.0,0
13087,"250 Schenectady Avenue, Apt 11...","Crown Heights, Central Brooklyn, Brooklyn",Crown Heights,Central Brooklyn,Brooklyn,2300.0,1.0,2
13088,Willoughby St,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,3150.0,1.0,1
13089,Schermerhorn St.,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,3595.0,2.0,2
13090,Queens Plaza South,"Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,2840.0,1.0,0
13091,"685 1st Avenue, Apt 12N","Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,3069.0,1.0,0
13092,29th Street and Lexington Ave,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",Rose Hill,Kips Bay,Manhattan,3025.0,1.0,1
13093,Linden Boulevard,"Flatbush, Central Brooklyn, Brooklyn",Flatbush,Central Brooklyn,Brooklyn,2416.0,2.0,3
13094,Wall Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,4093.0,1.0,1
13095,Center Blvd,"Hunters Point, Long Island City, Northwestern Queens, Queens",Hunters Point,Long Island City,Queens,3800.0,1.0,1
13096,Hunter St.,"Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,3638.0,1.0,1
13097,Nassau St.,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,5350.0,1.0,3
13098,West St.,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3525.0,1.0,1
13099,Stanton Street,"Bowery, Downtown Manhattan, Manhattan",Bowery,Downtown Manhattan,Manhattan,4499.0,1.0,3
13100,Stanton Street,"Bowery, Downtown Manhattan, Manhattan",Bowery,Downtown Manhattan,Manhattan,4499.0,1.0,3
13101,11th Street,"South Slope, Park Slope, South Brooklyn, Brooklyn",South Slope,Park Slope,Brooklyn,3609.0,1.0,3
13102,Water Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,5500.0,2.0,2
13103,West 34th Street,"Koreatown, Midtown Manhattan, Manhattan",Koreatown,Midtown Manhattan,Manhattan,2550.0,1.0,0
13104,W 43rd St,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,5440.0,2.0,2
13105,East 79th street,"Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,4120.0,1.0,2
13106,198 North Henry St,"Greenpoint, Northern Brooklyn, Brooklyn",Greenpoint,Northern Brooklyn,Brooklyn,9500.0,3.0,5
13107,"630 West 138th St, Apt 1","Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",Hamilton Heights,West Harlem,Manhattan,3900.0,2.0,2
13108,"62 West 62nd St, Apt 20A","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,6800.0,3.0,2
13109,"160 Riverside Boulevard, Apt 7...","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,6520.0,2.0,2
13110,"105 Duane St, Apt 24C","Tribeca, Downtown Manhattan, Manhattan",Tribeca,Downtown Manhattan,Manhattan,3780.0,1.0,0
13111,"34 North 7th St, Apt 3Q","Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,7250.0,2.0,3
13112,East 16th Street - Gramercy Pa...,"Gramercy Park, Midtown Manhattan, Manhattan",Gramercy Park,Midtown Manhattan,Manhattan,4350.0,1.0,1
13113,Stanton Street,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,7564.0,2.0,4
13114,Stanton Street,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,7564.0,2.0,4
13115,West 4th Street,"West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,3763.0,1.0,1
13116,Court St.,"Boerum Hill, South Brooklyn, Brooklyn",Boerum Hill,South Brooklyn,Brooklyn,3075.0,1.0,0
13117,Upper East Side,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,3095.0,1.0,0
13118,"360 East 57th Street, Apt 16","Sutton Place, Midtown East, Midtown Manhattan, Manhattan",Sutton Place,Midtown East,Manhattan,6500.0,3.0,4
13119,"325 Kent Avenue, Apt S515","Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,3412.0,1.0,1
13120,"80 John Street, Apt 16E","Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,4350.0,2.0,2
13121,"221 E 11th St, Apt 1D","East Village, Downtown Manhattan, Manhattan",East Village,Downtown Manhattan,Manhattan,3995.0,1.0,1
13122,"380 E 10th St., Apt 4D","Alphabet City, East Village, Downtown Manhattan, Manhattan",Alphabet City,East Village,Manhattan,3395.0,1.0,1
13123,Center Blvd,"Hunters Point, Long Island City, Northwestern Queens, Queens",Hunters Point,Long Island City,Queens,2975.0,1.0,0
13124,Jane St.,"West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,3895.0,1.0,0
13125,West 37th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,3227.0,1.0,1
13126,10th Ave.,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,5111.0,2.0,2
13127,W 97th St.,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",Manhattan Valley,Upper West Side,Manhattan,4410.0,2.0,2
13128,"26-1 24th Avenue, Apt 2B","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2450.0,1.0,2
13129,23-12 31st Drive,"Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2600.0,1.0,2
13130,509 East 87th Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,1400.0,2.0,0
13131,Hoyt Street,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,2730.0,1.0,0
13132,Hoyt Street,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,2730.0,1.0,0
13133,Eastern Parkway and Troy Avenu...,"Crown Heights, Central Brooklyn, Brooklyn",Crown Heights,Central Brooklyn,Brooklyn,5450.0,3.0,4
13134,E 28th St,"NoMad, Midtown Manhattan, Manhattan",NoMad,Midtown Manhattan,Manhattan,3555.0,1.0,0
13135,Stanton Street,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,4995.0,1.0,3
13136,"West 42nd Street,","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,6395.0,2.0,2
13137,650 Ninth Avenue,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,1625.0,2.0,0
13138,"175-5 Wexford Terrace, Apt 3","Jamaica Estates, Southeastern Queens, Queens",Jamaica Estates,Southeastern Queens,Queens,1850.0,1.0,1
13139,Fifth Avenue,"Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,13500.0,3.0,3
13140,Hoyt Street,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,2730.0,1.0,0
13141,Court St.,"Boerum Hill, South Brooklyn, Brooklyn",Boerum Hill,South Brooklyn,Brooklyn,3050.0,1.0,0
13142,650 Ninth Avenue,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,1625.0,2.0,0
13143,"175-5 Wexford Terrace, Apt 3","Jamaica Estates, Southeastern Queens, Queens",Jamaica Estates,Southeastern Queens,Queens,1850.0,1.0,1
13144,Fifth Avenue,"Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,13500.0,3.0,3
13145,East 87th Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,3400.0,1.0,2
13146,"85 Graham Avenue, Apt 2B","East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",East Williamsburg,Williamsburg,Brooklyn,3200.0,1.0,2
13147, Wall Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,6163.0,2.0,0
13148,River Terrace,"Battery Park City, Downtown Manhattan, Manhattan",Battery Park City,Downtown Manhattan,Manhattan,3969.0,1.0,1
13149,Ashland Place,"Fort Greene, Northwestern Brooklyn, Brooklyn",Fort Greene,Northwestern Brooklyn,Brooklyn,3966.0,1.0,1
13150,Stanton Street,"Bowery, Downtown Manhattan, Manhattan",Bowery,Downtown Manhattan,Manhattan,4363.0,1.0,3
13151,Water Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3877.0,1.0,0
13152,Saint Nicholas Ave,"Central Harlem, Upper Manhattan, Manhattan",Central Harlem,Upper Manhattan,Manhattan,2050.0,1.0,2
